更新时间,#genre#
20260608-08-14-18,url


RespoTime,whitelist,#genre#
248.08ms,CCTV1,https://t.freetv.fun/live/cctv-1-2.m3u8
773.13ms,CCTV1,http://182.150.23.74:808/hls/1/index.m3u8
494.61ms,CCTV1,http://121.29.215.36:2083/rtp/239.253.92.83:8012
609.99ms,CCTV1,http://106.59.3.238:55555/rtp/239.200.200.14:8852
619.15ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
608.95ms,CCTV1,http://106.59.3.73:55555/rtp/239.200.200.2:8080
624.21ms,CCTV1,http://106.59.3.73:55555/rtp/239.200.201.45:8800
509.01ms,CCTV1,http://111.196.135.156:20000/rtp/239.3.1.129:8008
315.76ms,CCTV1,https://t.freetv.fun/live/cctv1-12.m3u8
375.76ms,CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
481.07ms,CCTV1,http://60.4.30.177:8077/rtp/239.253.92.83:8012
495.10ms,CCTV1,http://171.119.207.192:6000/rtp/226.0.2.153:9136
300.70ms,CCTV1,https://t.freetv.fun/live/cctv-1-6.m3u8
608.83ms,CCTV1,http://106.59.3.238:55555/rtp/239.200.201.45:8800
783.35ms,CCTV1,http://106.59.3.238:55555/rtp/239.200.200.2:8080
629.84ms,CCTV1,http://106.59.3.73:55555/rtp/239.200.200.14:8852
637.34ms,CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
608.39ms,CCTV1,http://106.59.3.73:55555/rtp/239.200.200.117:8712
619.36ms,CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
259.72ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
632.81ms,CCTV1,http://1.192.247.36:8188/rtp/239.16.20.1:10010
312.58ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
373.69ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
319.88ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
611.82ms,CCTV1,http://183.164.237.29:8888/rtp/238.1.78.166:7200
466.63ms,CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
538.16ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
557.17ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
558.51ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
620.90ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
561.66ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
336.05ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
516.25ms,CCTV1,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
678.61ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
